playerId,correctness,human,workedWell,fair,chatUseful,feedback,time
kSEJFwmMYWRn3uDHA,yes,yes,stronglyAgree,"I think so, we worked well as a team and the payment and bonus are good",Really simple and easy to use,"When I started the questions page to check my understanding, the page appeared to refresh and clear my answers so I had to fill it in again before I submitted.",Definitely
DP6g2ZQPajwv9TXJ7,yes,yes,stronglyAgree,"Including the bonus, yes. Otherwise the base rate is below min wage for me.",It would have been better if the cursor focused to the text box when each screen appeared instead of having to manually click there to start typing.,No.,More than enough.
zRL7hYXxLcaoujEz7,yes,yes,stronglyAgree,Yes,Yes,No,Yes
Tzjy5uRGtmccXQEeM,yes,yes,stronglyAgree,it was very fair,very easy to use,none and the survey was fun,yes
d8werCbpR65GLFEJP,yes,yes,stronglyAgree,"yes, it was fun",yes,"Thought it was great fun, no real issues. it was a little flashy at times",yes
TTX3BhByCsjDdKQo6,yes,yes,stronglyAgree,Yes I did,Yes it was,No,Yes
4FwqwuBg8THopjzYt,yes,yes,agree,Yes,Yes,No,Yes more than enough
4WPuaCAupZXaSurmk,yes,yes,disagree,yes,yes,"The only problem I had was right at the start when I had to answer the questions to show I understood the instructions - it kept resetting before I could fill it all in.  On my 3rd attempt i went faster and managed to get it submitted on time.  Other than that, it was all good.  Good luck with your study.",plenty
qG2BmuCtmxTekrzeK,yes,yes,agree,Yes,Yes,No,Yes more than enough
FDE9gAmRjJRkPkPwo,yes,yes,stronglyAgree,Yeah considering we get a fee for completing the study anyway.,Yes,It was fun to play,More than enough
yXKwWWj2Euz4Bp7Ak,yes,yes,stronglyAgree,yep,yep,A long wait - over 20 minutes in lobby - this could have been identified in instructions.,yep
qT2TPjcJfgEpR8u8m,yes,no,stronglyDisagree,Yes,Not used...,No,Plenty
anaeCEcgLsmHiEaEb,yes,yes,disagree,Yes,We chose not to use it.,No,Yes
6fogty8muQfPkADs7,yes,yes,neutral,"I believe the pay was fair, it was a fun game and time flew by.",None of my party used the in game chat,no there were no problems with the study,I believe I had more than enough time each round. I took about 10 seconds to make my mind up of the 3 minutes allocated
m8EHFyheutMHD9LCz,yes,yes,disagree,"Yes, most of the time it was down to luck",Yes,Nope,Yes
K4svNxtghbtgQLx5e,yes,yes,neutral,Yes,Yes,No,Yes
byCZaG79TGh4nvFWQ,yes,yes,agree,Yes,I didnt need to use it,I enjoyed this study,Yes
RgjiAEG6bTZAP5H7y,yes,yes,stronglyDisagree,yes,wasnt really used as I gambled and tried to out smart them,no,yes
AkzTT9TRm9MftEi5K,yes,yes,neutral,Yes,"It was easy to use but I didn't feel like using it to communicate because it would have slowed down the game, it reset the chat to empty after each game which was moving quickly so I didn't want to use to avoid slowing down the pace of the game.","There wasn't any problems and it worked well, I get that we could have talked through the options and worked out how to choose different options by describing what the flowers looked like and share information to  maximise the profit but it just didn't seem worth it when it's for pennies, it's just easier to move quickly with the information we had and compete rather than work together using the chat and slow everything down.","More than enough time, but everyone was choosing quick so I felt like we needed to keep the pace quick even though we actually had 3 minutes."
Mx5CDu4wiJwjqSwef,yes,yes,neutral,"Considering we did not use the chat at all, I think the pay was fair because no one was overshadowing anyone else.","We did not use it at all, but I imagine it would have been easy to use.","To encourage people to use the chat (if this is what you are aiming to do), you could make it so that no one can select an image for the first minute or so, and then after that minute everyone can make their decisions.",Yes
rTh7fQWkwZLj8AxED,yes,yes,stronglyAgree,yes,yes - wish we'd used it sooner. I think the instructions should strongly encourage communication,no,yes
wunozKBwkPNQs3jAo,yes,yes,agree,Yes,It would be easier if it didn't refresh after each round (and sometimes mid trial I think?),First one I've done where I actually thought there were real people involved!,Yes
95mh2hDPt7oytKqRx,yes,yes,agree,Yeah it was.,Very easy.,"No, I thought the study ran fine.",I feel like there was more than enough time. we never really surpassed over a minute in any of the rounds.
L2JmrnizwoXJFL5jK,yes,yes,agree,It was reasonable,Yes,A long wait to get started but it was fine once we got going,Yes
fn5GQ7x854pc5ayQ4,yes,yes,agree,Yes,Yes,We were very polite and considerate of each other and shared info on how much things were before i asked to speed it along. I felt guilty doing this as we were being so nice to each other!,Yes
4ZqkfmgghfE697SuE,yes,yes,stronglyAgree,Most certainly. I was a bit worried about getting disconnected though.,"Very much, I enjoyed the reset after each round. A fresh start made things easy","Browser console logging seemed very verbose, I would comment out most of those console.log calls. Very simple game play. I got the feeling that the instructions made it seem more complicated than it was going to be.  It would be convenient to have a larger icon to indicate the  player selected flowers. The icons are oddly small compared to the free space between images.","Year 1 I wanted more time, but Years 2, 3 and 4 became increasingly easy. Needed less than 20 seconds once the communication shorthand developed."
iq2u7Tfpsxt5xo2B7,yes,yes,agree,Yes,"Erm, I didnt know there was ingame chat ?",Not knowing that there was an ingame chat,Yes
qu8hPJzkgjhgHAkYg,yes,yes,agree,Yes,NA,NA,Yes
fTngLhpycH4yB2DSW,yes,yes,neutral,More than fair! Was top notch! At least as far as surveys go!,Didn't even notice it!,"Excellent study! Pretty much always enjoy Prolific, but this one was really fun!",Time was ample.
XQp9nS5Sk4vqMW3SX,yes,yes,agree,Yes definitely.,I didn't realise there was an in game chat feature.,None.,Yes.
GSQwLHAzuxF3zDBcN,yes,yes,neutral,Yes,NA,No,Yes
AxRQMSKqAYR4gbEih,no,yes,disagree,Yes,No in game chat feature was visible,I saw that I was supposed to chat but saw no ability to,Yes
KAbZbk7RzPhbqNy4v,yes,yes,agree,Absolutely!,There wasn't one?,No,More than enough.
inFi5bbDy3pHF8Eik,yes,yes,neutral,Yes,I didn't know there was one,No,Yes
enH6susAmZyNPFwPA,yes,yes,neutral,yes,the in game chat feature would not let me type nothing only showed up with the other players an I made a decision.,no,yes
ZyG2muLfXAMZzdYFm,yes,no,neutral,yes,yes,n,yes
CFJACepneDhP8kpSb,yes,no,neutral,yes,yes,no,yes
mxFSxWpvYBhRRrnd3,yes,yes,agree,yes,yeah,no,yes
hXBALrkt3zA8EPSyn,yes,yes,neutral,Yes,Didn't have an in-game chat feature,No,Yes
F7qdCwYeTC4vjqbYk,yes,no,disagree,It was fine.,"I never used it, because I didn't think there was anything useful I could say.",NA,There was too much time.
smHTtZ5dWk7weCHA5,yes,no,neutral,"Yes, very. Let Stanford GSB behavior lab know that at least somebody there is getting it right.\n\nSeriously, great pay and fun game.",I didn't notice it.,"Bug in month 2 or 3, had to refresh. \n\nAlso, during the pre-study/directions. Sometimes the screen would reset and on pages that you'd entered information, it would erase and you had to enter it again.",Yes
3Xw8dWcvR883mjH7p,yes,yes,neutral,yes,i didn't know there was one?,i had to refresh once because the page was blank in the beginning (after the first round),yes
XTfuydiWfWq3WJXHi,yes,no,neutral,Yes.,I didn't use it,No problems,yes there was enough time
dkhdBEpNuFx7g7yAA,yes,yes,neutral,Yes,Noone in my chat communicated and when I tried I didnt see the chat box to input.,I tried to type in the chat but couldn't and none of my partners spoke.,Definitely
xEi5X6tdz6upKP6QE,yes,yes,neutral,Yes very,I didn’t know there was one,No,Yes
kWX9HGdtQmavGY5Ey,yes,no,disagree,"Yes, seemed very generous for such an enjoyable task","The task took place so quickly I did not use the chat at all, it was quite intensive to focus on",I had to refresh a few times and the instructions seemed very complicated so had to read them multiple times,"Yes, very generous amount of time"
ypzknRaDS65Yuy4f8,yes,no,agree,Yes i do,i never used it,none,yes
5yTb4TNSRhpaYXig7,yes,no,neutral,Yes,Not really.,Chat didn't work for me.,Yes
vjzuiMwSFZiW4WxwJ,yes,no,agree,yes it was fair.,did not notice the in-game chat feature.,NA,yes was enough time.
kSLXyQdCrH8DKPLW4,yes,no,disagree,Yes,"There was no in-game chat feature, it would have made it a lot easier if there was, all that was there was that the other players had made their choice. There was no mention of in game chat in the instructions either, it said to communicate but not shown how.","I didn't notice anything until this final section that it mentions and in game chat, that feature wasn't available, it didn't seen anywhere to use it.",I felt that I had enough time to make the decision but not to see who chose what
CbRcZej3pXjbp3bta,yes,yes,neutral,yes,yes,no,yes
DjZdAvQCpMc3qcGft,yes,yes,agree,Yes. I felt a bit bad I got a lot of the higher-paying flowers without competition.,I wasn't aware there was an in-game chat feature. I didn't use it.,"No. It was interesting, especially the point brought up in this debrief about the possibility of the other players being computers.",Yes.
n8LDfRNDwKQEfLP9x,yes,no,agree,The pay was very fair.,I didn't use the chat feature.,None,I had plenty of time.
Z22yqjMGybwFPDbN8,yes,yes,neutral,Yes,Didn't use it,No.,"Yes, plenty."
LhtoZGJ5iCnvxL9Eh,yes,yes,disagree,Yes,Yes,I encountered no problems other than a slightly long wait time in the lobby waiting for partners,Yes
XsRsWtNuZ3QDMXnox,yes,no,neutral,Yes,There was not one,No problems .A good interesting study,yes
