gameId,rowid,trialNum,name,pResp,text,span,normalized_span,referent,flowers,color
5etSp4RTD85pHPt96,5344,8,Minu,1,close up for me,close up for me,close up for me,1,"9:11, 4:9, 1:6, 12:5, 3:4, 8:1",purple
5etSp4RTD85pHPt96,5346,8,Repi,9,single flower that's mostly petals is good for me,single flower that's mostly petals,single flower that's mostly petals,9,"9:11, 4:9, 1:6, 12:5, 3:4, 8:1",purple
5etSp4RTD85pHPt96,5347,8,Laju,4,what close up,close up,close up,1,"9:11, 4:9, 1:6, 12:5, 3:4, 8:1",purple
5etSp4RTD85pHPt96,5348,8,Minu,1,the petal close up one,the petal close up one,the petal close up one,1,"9:11, 4:9, 1:6, 12:5, 3:4, 8:1",purple
5etSp4RTD85pHPt96,5352,9,Minu,12,single with yellow dot,single with yellow dot,single with yellow dot,12,"12:12, 9:5, 7:4, 3:3, 4:2, 10:1",purple
5etSp4RTD85pHPt96,5353,9,Laju,9,single flower with red,single flower with red,single flower with red,9,"12:12, 9:5, 7:4, 3:3, 4:2, 10:1",purple
5etSp4RTD85pHPt96,5354,9,Repi,7,I can pick the circle flower that isn't the wispy one,the circle flower that isn't the wispy one,the circle flower that isn't the wispy one,7,"12:12, 9:5, 7:4, 3:3, 4:2, 10:1",purple
5etSp4RTD85pHPt96,5356,9,Minu,12,sorted,,,,"12:12, 9:5, 7:4, 3:3, 4:2, 10:1",purple
5etSp4RTD85pHPt96,5359,10,Minu,4,wisp ball,wisp ball,wisp ball,4,"4:12, 1:9, 6:8, 2:6, 12:3, 9:2",purple
5etSp4RTD85pHPt96,5360,10,Laju,1,close petals,close petals,close petals,1,"4:12, 1:9, 6:8, 2:6, 12:3, 9:2",purple
5etSp4RTD85pHPt96,5364,11,Minu,3,far away wisp flower,far away wisp flower,far away wisp flower,3,"3:10, 4:8, 9:6, 2:5, 10:4, 6:3",purple
5etSp4RTD85pHPt96,5365,11,Repi,4,wispy ball is best for me!,wispy ball,wispy ball,4,"3:10, 4:8, 9:6, 2:5, 10:4, 6:3",purple
5etSp4RTD85pHPt96,5369,12,Minu,3,same again,,,,"3:10, 1:8, 2:7, 4:5, 7:3, 9:1",purple
5etSp4RTD85pHPt96,5370,12,Laju,2,two flowers,two flowers,two flowers,2,"3:10, 1:8, 2:7, 4:5, 7:3, 9:1",purple
5etSp4RTD85pHPt96,5371,12,Minu,3,fat away wisp one,fat away wisp one,fat away wisp one,3,"3:10, 1:8, 2:7, 4:5, 7:3, 9:1",purple
5etSp4RTD85pHPt96,5375,13,Laju,5,3 flowers,3 flowers,3 flowers,5,"5:10, 10:7, 7:6, 2:5, 12:4, 6:3",purple
5etSp4RTD85pHPt96,5376,13,Minu,10,bells one,bells one,bells one,10,"5:10, 10:7, 7:6, 2:5, 12:4, 6:3",purple
5etSp4RTD85pHPt96,5380,14,Minu,10,bells ome again,bells ome,bells ome,10,"8:12, 10:8, 4:7, 11:5, 12:2, 6:1",purple
5etSp4RTD85pHPt96,5381,14,Laju,8,4 flowers,4 flowers,4 flowers,8,"8:12, 10:8, 4:7, 11:5, 12:2, 6:1",purple
5etSp4RTD85pHPt96,5384,15,Laju,10,bells,bells,bells,10,"10:12, 8:9, 11:8, 6:7, 4:6, 12:2",purple
5etSp4RTD85pHPt96,5385,15,Repi,8,four flowers,four flowers,four flowers,8,"10:12, 8:9, 11:8, 6:7, 4:6, 12:2",purple
5etSp4RTD85pHPt96,5386,15,Minu,4,whisp,whisp,whisp,4,"10:12, 8:9, 11:8, 6:7, 4:6, 12:2",purple
5etSp4RTD85pHPt96,5391,16,Repi,10,same again,,,,"8:10, 1:9, 10:8, 11:5, 3:2, 2:1",purple
5etSp4RTD85pHPt96,5392,16,Laju,8,4,4,4,8,"8:10, 1:9, 10:8, 11:5, 3:2, 2:1",purple
5etSp4RTD85pHPt96,5393,16,Minu,1,close up,close up,close up,1,"8:10, 1:9, 10:8, 11:5, 3:2, 2:1",purple
5etSp4RTD85pHPt96,5394,16,Repi,10,ooo nvm I will pick bells then,bells,bells,10,"8:10, 1:9, 10:8, 11:5, 3:2, 2:1",purple
5etSp4RTD85pHPt96,5397,17,Laju,6,two,two,two,6,"9:11, 3:9, 6:8, 8:4, 4:3, 2:1",purple
5etSp4RTD85pHPt96,5398,17,Minu,9,single whisp,single whisp,single wisp,3,"9:11, 3:9, 6:8, 8:4, 4:3, 2:1",purple
5etSp4RTD85pHPt96,5400,17,Laju,6,far apart,far apart,far apart,6,"9:11, 3:9, 6:8, 8:4, 4:3, 2:1",purple
5etSp4RTD85pHPt96,5401,17,Repi,9,petals with red,petals with red,petals with red,9,"9:11, 3:9, 6:8, 8:4, 4:3, 2:1",purple
5etSp4RTD85pHPt96,5404,18,Laju,3,far away wisp,far away wisp,far away wisp,3,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5405,18,Minu,10,far away wisp,far away wisp,far away wisp,3,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5406,18,Repi,10,bells!,bells!,bells!,10,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5409,18,Laju,3,i can do yellow dots then,yellow dots,yellow dots,11,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5410,18,Minu,10,nvm 3,3,3,5,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5411,18,Laju,3,you did the 3 not the wisp?,the 3,the 3,5,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5411,18,Laju,3,you did the 3 not the wisp?,the wisp,the wisp,3,"3:10, 10:8, 11:5, 2:4, 5:2, 8:1",purple
5etSp4RTD85pHPt96,5414,19,Laju,5,3,3,3,5,"5:10, 3:8, 7:7, 1:5, 9:2, 12:1",purple
5etSp4RTD85pHPt96,5415,19,Minu,7,big fowrr,big fowrr,big flower,7,"5:10, 3:8, 7:7, 1:5, 9:2, 12:1",purple
5etSp4RTD85pHPt96,5416,19,Repi,3,far away wisp,far away wisp,far away wisp,3,"5:10, 3:8, 7:7, 1:5, 9:2, 12:1",purple
5etSp4RTD85pHPt96,5420,20,Laju,3,far away wisp,far away wisp,far away wisp,3,"3:11, 2:9, 1:8, 12:6, 5:5, 6:3",purple
5etSp4RTD85pHPt96,5421,20,Minu,2,2 close up,2 close up,2 close up,2,"3:11, 2:9, 1:8, 12:6, 5:5, 6:3",purple
5etSp4RTD85pHPt96,5424,21,Laju,12,3,3,3,5,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5425,21,Minu,5,3 flower,3 flower,3 flower,5,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5426,21,Laju,12,okay close with yellow,close with yellow,close with yellow,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5427,21,Laju,12,single,single,single,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5429,21,Repi,9,which close with yellow,close with yellow,close with yellow,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5430,21,Repi,9,the petal one?,the petal one?,the petal one?,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5431,21,Laju,12,the sinlge onw,the sinlge onw,the single one,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5432,21,Laju,12,not the multiple,not the multiple,not the multiple,12,"5:11, 12:8, 9:6, 11:5, 10:4, 4:3",purple
5etSp4RTD85pHPt96,5435,22,Laju,5,3,3,3,5,"5:10, 9:7, 4:6, 8:5, 1:4, 11:1",purple
5etSp4RTD85pHPt96,5436,22,Minu,4,whisp,whisp,whisp,4,"5:10, 9:7, 4:6, 8:5, 1:4, 11:1",purple
5etSp4RTD85pHPt96,5440,23,Laju,2,2 close together,2 close together,2 close together,2,"2:11, 10:8, 4:6, 5:5, 1:2, 11:1",purple
5etSp4RTD85pHPt96,5441,23,Repi,4,wispy ball,wispy ball,wispy ball,4,"2:11, 10:8, 4:6, 5:5, 1:2, 11:1",purple
5etSp4RTD85pHPt96,5443,23,Minu,10,bells,bells,bells,10,"2:11, 10:8, 4:6, 5:5, 1:2, 11:1",purple
7JSk79tktXw77agpS,138,0,Minu,1,i want the red in the top left corner,the red in the top left corner,the red in the top left corner,1,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,139,0,Minu,1,what did you choose?,,,,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,140,0,Laju,7,i will take the red with the multiple flower heads,the red with the multiple flower heads,the red with the multiple flower heads,7,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,141,0,Laju,7,your flowers are placed in different blocks than mine,,,,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,142,0,Laju,7,what does your flower look like,,,,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,143,0,Minu,1,oh youre right - does the multiple flower heads have green on it?,the multiple flower heads have green,the multiple flower heads have green,7,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,144,0,Minu,1,i havent picked yet - i dont want to pick the same as you guys,,,,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,145,0,Laju,7,I picked the flower with what looks like six different buds or flowers,the flower with what looks like six different buds or flowers,the flower with what looks like six different buds or flowers,7,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,146,0,Minu,1,okay,,,,"1:11, 7:8, 4:7, 9:6, 5:4, 12:1",red
7JSk79tktXw77agpS,149,1,Laju,7,i will pick the same picture as before with the same multiple flower heads,the same picture as before with the same multiple flower heads,the same picture as before with the same multiple flower heads,7,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,151,1,Laju,7,what did you choose i did not pick yet,,,,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,152,1,Minu,7,i chose a different one from last time,a different one from last time,a different one from last time,7,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,153,1,Laju,7,can you provide a description of what you chose,,,,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,154,1,Laju,7,can we all agree to describe our pick as soon as the timer starts> to avoid confusion,,,,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,155,1,Minu,7,i think it has 6 heads but 2 large ones with little ones in the back,6 heads but 2 large ones with little ones in the back,6 heads but 2 large ones with little ones in the back,7,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,156,1,Minu,7,yes i will describe my pick as soon as the timer starts,,,,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,157,1,Laju,7,repi what did you chose or are you going to chose,,,,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,158,1,Repi,12,The three open flowers,The three open flowers,The three open flowers,12,"7:12, 11:9, 12:6, 1:3, 9:2, 10:1",red
7JSk79tktXw77agpS,161,2,Minu,5,i want the red flower with the white flower inside it,the red flower with the white flower inside it,the red flower with the white flower inside it,5,"10:11, 5:9, 11:8, 9:5, 2:4, 4:1",red
7JSk79tktXw77agpS,162,2,Minu,5,repi which one did you choose?,,,,"10:11, 5:9, 11:8, 9:5, 2:4, 4:1",red
7JSk79tktXw77agpS,163,2,Laju,9,i chose the single red flower,the single red flower,the single red flower,9,"10:11, 5:9, 11:8, 9:5, 2:4, 4:1",red
7JSk79tktXw77agpS,164,2,Repi,5,i choose the one,the one,the one,5,"10:11, 5:9, 11:8, 9:5, 2:4, 4:1",red
7JSk79tktXw77agpS,165,2,Laju,9,ok i will change to the flower with yellow on the bottom and the antennai,the flower with yellow on the bottom and the antennai,the flower with yellow on the bottom and the antennae,9,"10:11, 5:9, 11:8, 9:5, 2:4, 4:1",red
7JSk79tktXw77agpS,168,3,Laju,4,I will chose the single red flower that is a circle,the single red flower that is a circle,the single red flower that is a circle,4,"11:12, 4:7, 1:6, 5:5, 3:4, 2:2",red
7JSk79tktXw77agpS,169,3,Repi,3,i choose the single petal flower,the single petal flower,the single petal flower,3,"11:12, 4:7, 1:6, 5:5, 3:4, 2:2",red
7JSk79tktXw77agpS,173,4,Minu,11,i want the red flower the the white and yellow inside,the red flower the the white and yellow inside,the red flower the the white and yellow inside,5,"5:11, 9:6, 7:4, 6:3, 3:2, 11:1",red
7JSk79tktXw77agpS,174,4,Repi,3,"the choose the same as before, the single petal one","the same as before, the single petal one","the same as before, the single petal one",3,"5:11, 9:6, 7:4, 6:3, 3:2, 11:1",red
7JSk79tktXw77agpS,176,4,Laju,6,I will chose the flower that appears to be facing to the left.  WIth the green point,the flower that appears to be facing to the left. WIth the green point,the flower that appears to be facing to the left. WIth the green point,6,"5:11, 9:6, 7:4, 6:3, 3:2, 11:1",red
7JSk79tktXw77agpS,179,5,Laju,4,I will chose the single red round flower,the single red round flower,the single red round flower,4,"11:11, 10:6, 7:5, 9:3, 3:2, 4:1",red
7JSk79tktXw77agpS,180,5,Repi,3,"i choose the same again, the single petal",the single petal,the single petal,3,"11:11, 10:6, 7:5, 9:3, 3:2, 4:1",red
7JSk79tktXw77agpS,182,5,Minu,10,i will choose the flower that looks like it is a bunch of berries,the flower that looks like it is a bunch of berries,the flower that looks like it is a bunch of berries,10,"11:11, 10:6, 7:5, 9:3, 3:2, 4:1",red
7JSk79tktXw77agpS,185,6,Laju,8,I chose the flower with three,the flower with three,the flower with three,8,"4:10, 10:8, 2:7, 9:5, 8:2, 5:1",red
7JSk79tktXw77agpS,186,6,Laju,8,with the black middle,with the black middle,with the black middle,8,"4:10, 10:8, 2:7, 9:5, 8:2, 5:1",red
7JSk79tktXw77agpS,187,6,Repi,10,I choose the berry looking one,the berry looking one,the berry looking one,10,"4:10, 10:8, 2:7, 9:5, 8:2, 5:1",red
7JSk79tktXw77agpS,189,6,Minu,4,i will choose the single flower,the single flower,the single flower,4,"4:10, 10:8, 2:7, 9:5, 8:2, 5:1",red
7JSk79tktXw77agpS,192,7,Laju,5,I chose the flower with white inside,the flower with white inside,the flower with white inside,5,"5:12, 6:9, 12:7, 9:5, 11:4, 3:3",red
7JSk79tktXw77agpS,193,7,Repi,12,"i choose the three flowers, one nearly hidden","the three flowers, one nearly hidden","the three flowers, one nearly hidden",12,"5:12, 6:9, 12:7, 9:5, 11:4, 3:3",red
7JSk79tktXw77agpS,196,7,Minu,6,i choose the pink flower pink and black background,the pink flower pink and black background,the pink flower pink and black background,6,"5:12, 6:9, 12:7, 9:5, 11:4, 3:3",red
7JSk79tktXw77agpS,198,8,Laju,3,I chose the single petal with yellow long thing in the middle,the single petal with yellow long thing in the middle,the single petal with yellow long thing in the middle,3,"7:11, 5:8, 3:6, 1:5, 9:4, 2:1",red
7JSk79tktXw77agpS,199,8,Minu,7,"i will choose the flower with 6 heads, 2 in the front","the flower with 6 heads, 2 in the front","the flower with 6 heads, 2 in the front",7,"7:11, 5:8, 3:6, 1:5, 9:4, 2:1",red
7JSk79tktXw77agpS,203,9,Minu,8,i will choose the flower with 3 heads,the flower with 3 heads,the flower with 3 heads,8,"10:12, 5:9, 8:8, 9:7, 12:6, 1:4",red
7JSk79tktXw77agpS,204,9,Laju,9,I chose the flower with the antenna on the bottom,the flower with the antenna on the bottom,the flower with the antenna on the bottom,9,"10:12, 5:9, 8:8, 9:7, 12:6, 1:4",red
7JSk79tktXw77agpS,208,10,Laju,6,I chose the flower pointing to the left  green arrow,the flower pointing to the left green arrow,the flower pointing to the left green arrow,6,"2:12, 11:9, 12:8, 9:6, 6:5, 3:1",red
7JSk79tktXw77agpS,209,10,Laju,6,black background,black background,black background,6,"2:12, 11:9, 12:8, 9:6, 6:5, 3:1",red
7JSk79tktXw77agpS,210,10,Minu,12,i choose the flower with 3 heads and yellow on the end,the flower with 3 heads and yellow on the end,the flower with 3 heads and yellow on the end,12,"2:12, 11:9, 12:8, 9:6, 6:5, 3:1",red
7JSk79tktXw77agpS,214,11,Laju,8,I chose the three flowers with black middle,the three flowers with black middle,the three flowers with black middle,8,"12:11, 5:9, 2:6, 8:5, 1:4, 6:2",red
7JSk79tktXw77agpS,215,11,Repi,5,i choose the open single flower,the open single flower,the open single flower,5,"12:11, 5:9, 2:6, 8:5, 1:4, 6:2",red
7JSk79tktXw77agpS,219,12,Laju,3,i chose the single petal flower,the single petal flower,the single petal flower,3,"4:11, 9:8, 3:5, 2:4, 12:3, 1:1",red
7JSk79tktXw77agpS,220,12,Laju,3,with yellow long skinny inside,with yellow long skinny inside,with yellow long skinny inside,3,"4:11, 9:8, 3:5, 2:4, 12:3, 1:1",red
7JSk79tktXw77agpS,221,12,Minu,9,i choose the flower with the antenna,the flower with the antenna,the flower with the antenna,9,"4:11, 9:8, 3:5, 2:4, 12:3, 1:1",red
7JSk79tktXw77agpS,225,13,Laju,1,I chose the flower with yellow center and multiple leaves,the flower with yellow center and multiple leaves,the flower with yellow center and multiple leaves,1,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,226,13,Laju,1,green leaves up close in background,green leaves up close in background,green leaves up close in background,1,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,227,13,Minu,9,i choose the flower with antenna,the flower with antenna,the flower with antenna,9,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,229,13,Laju,1,we are doing good yall,,,,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,230,13,Minu,9,(:,,,,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,231,13,Repi,7,(:,,,,"7:12, 9:9, 11:7, 6:4, 1:3, 2:1",red
7JSk79tktXw77agpS,234,14,Laju,4,I chose the single circle flower,the single circle flower,the single circle flower,4,"8:12, 7:8, 4:7, 9:6, 10:4, 1:1",red
7JSk79tktXw77agpS,236,14,Minu,8,i choose the 3 with black center,the 3 with black center,the 3 with black center,8,"8:12, 7:8, 4:7, 9:6, 10:4, 1:1",red
7JSk79tktXw77agpS,239,15,Laju,4,I chose single circle again,single circle again,single circle again,4,"2:11, 11:8, 12:7, 9:5, 1:4, 4:2",red
7JSk79tktXw77agpS,241,15,Minu,12,i choose 3 flowers with yellow on the end,3 flowers with yellow on the end,3 flowers with yellow on the end,12,"2:11, 11:8, 12:7, 9:5, 1:4, 4:2",red
7JSk79tktXw77agpS,244,16,Laju,5,I chose flower with white in the middle,flower with white in the middle,flower with white in the middle,5,"5:10, 1:8, 7:7, 12:5, 3:4, 2:2",red
7JSk79tktXw77agpS,246,16,Minu,7,i choose flower with 6 heads 2 in front,flower with 6 heads 2 in front,flower with 6 heads 2 in front,7,"5:10, 1:8, 7:7, 12:5, 3:4, 2:2",red
7JSk79tktXw77agpS,249,17,Minu,7,i will choose the same 6 headed flower again,the same 6 headed flower ,the same 6 headed flower ,7,"10:11, 7:9, 6:8, 3:6, 1:4, 8:2",red
7JSk79tktXw77agpS,251,17,Laju,1,I chose the flower with yellow multiple leaves,the flower with yellow multiple leaves,the flower with yellow multiple leaves,1,"10:11, 7:9, 6:8, 3:6, 1:4, 8:2",red
7JSk79tktXw77agpS,253,17,Repi,10,i choose the berry bush looking one,the berry bush looking one,the berry bush looking one,10,"10:11, 7:9, 6:8, 3:6, 1:4, 8:2",red
7JSk79tktXw77agpS,255,18,Laju,4,I chose the single circle,the single circle,the single circle,4,"6:11, 2:8, 9:7, 4:5, 8:4, 10:2",red
7JSk79tktXw77agpS,257,18,Repi,8,i choose the three ones,the three ones,the three ones,8,"6:11, 2:8, 9:7, 4:5, 8:4, 10:2",red
7JSk79tktXw77agpS,260,19,Laju,12,I chose the three with one hidden behind,the three with one hidden behind,the three with one hidden behind,12,"2:12, 9:8, 12:5, 7:4, 3:2, 5:1",red
7JSk79tktXw77agpS,262,19,Repi,2,i choose the one lots of leaves on a black background,the one lots of leaves on a black background,the one lots of leaves on a black background,2,"2:12, 9:8, 12:5, 7:4, 3:2, 5:1",red
7JSk79tktXw77agpS,265,20,Minu,9,i choose the one with antenna,the one with antenna,the one with antenna,9,"9:12, 2:9, 5:8, 10:7, 7:3, 12:1",red
7JSk79tktXw77agpS,266,20,Laju,2,I chose poinsettia with dark black background,poinsettia with dark black background,poinsettia with dark black background,2,"9:12, 2:9, 5:8, 10:7, 7:3, 12:1",red
7JSk79tktXw77agpS,270,21,Laju,8,I pickthree with black center,three with black center,three with black center,8,"12:11, 11:7, 3:5, 10:4, 8:2, 2:1",red
