rowid	trialNum	name	pResp	text	span	referent	flowers	color
47	9	Repi	4	I'll do the one with all the little bits coming off of it			4:12, 9:7, 11:6, 7:4, 12:2, 10:1	purple
49	9	Laju	12	The single flower			4:12, 9:7, 11:6, 7:4, 12:2, 10:1	purple
52	10	Minu	2	double			2:12, 5:9, 3:7, 6:3, 12:2, 7:1	purple
54	10	Laju	6	I’ll 2 small ones			2:12, 5:9, 3:7, 6:3, 12:2, 7:1	purple
55	10	Repi	5	I'll do the 3 with dark purple			2:12, 5:9, 3:7, 6:3, 12:2, 7:1	purple
58	11	Repi	10	I'll do the tall one			12:12, 10:9, 3:6, 8:4, 1:2, 9:1	purple
60	11	Minu	12	im doing the one that looks whilted			12:12, 10:9, 3:6, 8:4, 1:2, 9:1	purple
63	12	Repi	5	3 with dark purple			5:10, 6:6, 10:5, 12:4, 2:2, 1:1	purple
65	12	Minu	6	the 2 small ones			5:10, 6:6, 10:5, 12:4, 2:2, 1:1	purple
66	12	Laju	6	2 single small ones			5:10, 6:6, 10:5, 12:4, 2:2, 1:1	purple
69	13	Minu	9	speckled			9:10, 7:9, 5:6, 12:5, 10:4, 11:1	purple
71	13	Repi	5	3 with dark purple			9:10, 7:9, 5:6, 12:5, 10:4, 11:1	purple
72	13	Laju	10	Tall			9:10, 7:9, 5:6, 12:5, 10:4, 11:1	purple
75	14	Repi	2	double flavours with yellow			2:10, 7:7, 5:5, 11:4, 12:3, 3:2	purple
77	14	Minu	7	big one with little flowers around it			2:10, 7:7, 5:5, 11:4, 12:3, 3:2	purple
80	15	Minu	3	frilly			3:10, 9:8, 10:7, 12:6, 7:5, 8:3	purple
82	15	Repi	9	speckled			3:10, 9:8, 10:7, 12:6, 7:5, 8:3	purple
84	15	Laju	10	Tall			3:10, 9:8, 10:7, 12:6, 7:5, 8:3	purple
86	16	Repi	10	tall one			5:12, 7:9, 10:8, 8:7, 11:6, 1:1	purple
87	16	Laju	7	Tall			5:12, 7:9, 10:8, 8:7, 11:6, 1:1	purple
89	16	Minu	5	triple			5:12, 7:9, 10:8, 8:7, 11:6, 1:1	purple
90	16	Laju	7	Cirvle			5:12, 7:9, 10:8, 8:7, 11:6, 1:1	purple
93	17	Repi	12	wilted one			12:12, 7:9, 2:7, 10:6, 3:5, 5:2	purple
95	17	Minu	7	big			12:12, 7:9, 2:7, 10:6, 3:5, 5:2	purple
97	17	Laju	10	Tall			12:12, 7:9, 2:7, 10:6, 3:5, 5:2	purple
99	18	Minu	7	big			7:11, 6:9, 1:8, 9:7, 11:6, 8:3	purple
101	18	Repi	1	i'll do the pink-y purple one			7:11, 6:9, 1:8, 9:7, 11:6, 8:3	purple
103	18	Laju	6	2 small			7:11, 6:9, 1:8, 9:7, 11:6, 8:3	purple
105	19	Repi	9	speckled			3:10, 9:9, 8:8, 7:7, 10:4, 11:1	purple
107	19	Laju	7	Big			3:10, 9:9, 8:8, 7:7, 10:4, 11:1	purple
108	19	Minu	3	frilly			3:10, 9:9, 8:8, 7:7, 10:4, 11:1	purple
111	20	Repi	3	frilly			3:11, 8:6, 2:4, 6:3, 7:2, 12:1	purple
113	20	Laju	7	Big			3:11, 8:6, 2:4, 6:3, 7:2, 12:1	purple
116	21	Minu	6	2 small			6:11, 10:9, 8:6, 4:5, 2:4, 5:2	purple
117	21	Repi	8	tall			6:11, 10:9, 8:6, 4:5, 2:4, 5:2	purple
118	21	Laju	4	Tall			6:11, 10:9, 8:6, 4:5, 2:4, 5:2	purple
122	22	Repi	10	tall			1:12, 10:6, 8:5, 11:4, 7:3, 4:2	purple
124	22	Laju	1	Crocus			1:12, 10:6, 8:5, 11:4, 7:3, 4:2	purple
125	22	Minu	11	what does that mean? lol			1:12, 10:6, 8:5, 11:4, 7:3, 4:2	purple
126	22	Repi	10	haha			1:12, 10:6, 8:5, 11:4, 7:3, 4:2	purple
127	22	Laju	1	Sorry flame shaped petals			1:12, 10:6, 8:5, 11:4, 7:3, 4:2	purple
130	23	Repi	5	3 with dark purple for me			5:12, 11:9, 12:7, 3:3, 2:2, 6:1	purple
132	23	Minu	12	whilted			5:12, 11:9, 12:7, 3:3, 2:2, 6:1	purple
134	23	Laju	12	Single frilly			5:12, 11:9, 12:7, 3:3, 2:2, 6:1	purple
138	0	Minu	1	i want the red in the top left corner			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
139	0	Minu	1	what did you choose?			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
140	0	Laju	7	i will take the red with the multiple flower heads			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
141	0	Laju	7	your flowers are placed in different blocks than mine			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
142	0	Laju	7	what does your flower look like			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
143	0	Minu	1	oh youre right - does the multiple floweer heads have green on it?			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
144	0	Minu	1	i havent picked yet - i dont want to pick the same as you guys			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
145	0	Laju	7	I picked the flower with what looks like six different buds or flowers			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
146	0	Minu	1	okay			1:11, 7:8, 4:7, 9:6, 5:4, 12:1	red
149	1	Laju	7	i will pick the same picture as before with the same multiple flower heads			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
151	1	Laju	7	what did you choose i did not pick yet			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
152	1	Minu	7	i chose a different one from last time			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
153	1	Laju	7	can you provide a description of what you chose			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
154	1	Laju	7	can we all agree to describe our pick as soon as the timer starts> to avoid confusion			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
155	1	Minu	7	i think it has 6 heads but 2 large ones with little ones in the back			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
156	1	Minu	7	yes i will describe my pick as soon as the timer starts			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
157	1	Laju	7	repi what did you chose or are you going to chose			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
158	1	Repi	12	The three open flowers			7:12, 11:9, 12:6, 1:3, 9:2, 10:1	red
161	2	Minu	5	i want the red flower with the white flower inside it			10:11, 5:9, 11:8, 9:5, 2:4, 4:1	red
162	2	Minu	5	repi which one did you choose?			10:11, 5:9, 11:8, 9:5, 2:4, 4:1	red
163	2	Laju	9	i chose the single red flower			10:11, 5:9, 11:8, 9:5, 2:4, 4:1	red
164	2	Repi	5	i choose the one			10:11, 5:9, 11:8, 9:5, 2:4, 4:1	red
165	2	Laju	9	ok i will change to the flower with yellow on the bottom and the antennai			10:11, 5:9, 11:8, 9:5, 2:4, 4:1	red
168	3	Laju	4	I will chose the single red fower that is a circle			11:12, 4:7, 1:6, 5:5, 3:4, 2:2	red
169	3	Repi	3	i choose the single petal flower			11:12, 4:7, 1:6, 5:5, 3:4, 2:2	red
173	4	Minu	11	i want the red flower the the white and yellow inside			5:11, 9:6, 7:4, 6:3, 3:2, 11:1	red
174	4	Repi	3	the choose the same as before, the single petal one			5:11, 9:6, 7:4, 6:3, 3:2, 11:1	red
176	4	Laju	6	I will chose the flower that appears to be facing to the left.  WIth the green point			5:11, 9:6, 7:4, 6:3, 3:2, 11:1	red
179	5	Laju	4	I will chose the single red round flower			11:11, 10:6, 7:5, 9:3, 3:2, 4:1	red
180	5	Repi	3	i choose the same again, the single petal			11:11, 10:6, 7:5, 9:3, 3:2, 4:1	red
182	5	Minu	10	i will choose the flower that looks like it is a bunch of berries			11:11, 10:6, 7:5, 9:3, 3:2, 4:1	red
185	6	Laju	8	I chose the flower with three			4:10, 10:8, 2:7, 9:5, 8:2, 5:1	red
186	6	Laju	8	with the black middle			4:10, 10:8, 2:7, 9:5, 8:2, 5:1	red
187	6	Repi	10	I choose the berry looking one			4:10, 10:8, 2:7, 9:5, 8:2, 5:1	red
189	6	Minu	4	i will choose the single flower			4:10, 10:8, 2:7, 9:5, 8:2, 5:1	red
192	7	Laju	5	I chose the flower with white inside			5:12, 6:9, 12:7, 9:5, 11:4, 3:3	red
193	7	Repi	12	i choose the three flowers, one nearly hidden			5:12, 6:9, 12:7, 9:5, 11:4, 3:3	red
196	7	Minu	6	i choose the pink flower pink and black background			5:12, 6:9, 12:7, 9:5, 11:4, 3:3	red
198	8	Laju	3	I chose the single petal with yellow long thing in the middle			7:11, 5:8, 3:6, 1:5, 9:4, 2:1	red
199	8	Minu	7	i will choose the flower with 6 heads, 2 in the front			7:11, 5:8, 3:6, 1:5, 9:4, 2:1	red
203	9	Minu	8	i will choose the flower with 3 heads			10:12, 5:9, 8:8, 9:7, 12:6, 1:4	red
204	9	Laju	9	I chose the flower with the antenna on the bottom			10:12, 5:9, 8:8, 9:7, 12:6, 1:4	red
208	10	Laju	6	I chose the flower pointing to hte left  green arrow			2:12, 11:9, 12:8, 9:6, 6:5, 3:1	red
209	10	Laju	6	black background			2:12, 11:9, 12:8, 9:6, 6:5, 3:1	red
210	10	Minu	12	i choose the flower with 3 heads and yellow on the end			2:12, 11:9, 12:8, 9:6, 6:5, 3:1	red
214	11	Laju	8	I chose the three flowers with black middle			12:11, 5:9, 2:6, 8:5, 1:4, 6:2	red
215	11	Repi	5	i choose the open single flower			12:11, 5:9, 2:6, 8:5, 1:4, 6:2	red
219	12	Laju	3	i chose the single petal flower			4:11, 9:8, 3:5, 2:4, 12:3, 1:1	red
220	12	Laju	3	with yellow long skinny inside			4:11, 9:8, 3:5, 2:4, 12:3, 1:1	red
221	12	Minu	9	i choose the flower with the antenna			4:11, 9:8, 3:5, 2:4, 12:3, 1:1	red
225	13	Laju	1	I chose the flower with yellow center and multiple leaves			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
226	13	Laju	1	green leaves up close in background			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
227	13	Minu	9	i choose the flower with antenna			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
229	13	Laju	1	we are doing good yall			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
230	13	Minu	9	(:			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
231	13	Repi	7	(:			7:12, 9:9, 11:7, 6:4, 1:3, 2:1	red
234	14	Laju	4	I chose the single circle flower			8:12, 7:8, 4:7, 9:6, 10:4, 1:1	red
236	14	Minu	8	i choose the 3 with black center			8:12, 7:8, 4:7, 9:6, 10:4, 1:1	red
239	15	Laju	4	I chose single circle again			2:11, 11:8, 12:7, 9:5, 1:4, 4:2	red
241	15	Minu	12	i choose 3 flowers with yellow on the end			2:11, 11:8, 12:7, 9:5, 1:4, 4:2	red
244	16	Laju	5	I chose flower with white in the middle			5:10, 1:8, 7:7, 12:5, 3:4, 2:2	red
246	16	Minu	7	i choose flower with 6 heads 2 in front			5:10, 1:8, 7:7, 12:5, 3:4, 2:2	red
249	17	Minu	7	i will choose the same 6 headed flower again			10:11, 7:9, 6:8, 3:6, 1:4, 8:2	red
251	17	Laju	1	I chose the flower with yellow multiple leaves			10:11, 7:9, 6:8, 3:6, 1:4, 8:2	red
253	17	Repi	10	i choose the berry bush looking one			10:11, 7:9, 6:8, 3:6, 1:4, 8:2	red
255	18	Laju	4	I chose the single circle			6:11, 2:8, 9:7, 4:5, 8:4, 10:2	red
257	18	Repi	8	i choose the three ones			6:11, 2:8, 9:7, 4:5, 8:4, 10:2	red
260	19	Laju	12	I chose the three with one hidden behind			2:12, 9:8, 12:5, 7:4, 3:2, 5:1	red
262	19	Repi	2	i choose the one lots of leaves on a black backround			2:12, 9:8, 12:5, 7:4, 3:2, 5:1	red
265	20	Minu	9	i choose the one with antenna			9:12, 2:9, 5:8, 10:7, 7:3, 12:1	red
266	20	Laju	2	I chose poinsetta with dark black background			9:12, 2:9, 5:8, 10:7, 7:3, 12:1	red
270	21	Laju	8	I pickthree with black center			12:11, 11:7, 3:5, 10:4, 8:2, 2:1	red
272	21	Laju	8	three flowers.  Looks like poppys			12:11, 11:7, 3:5, 10:4, 8:2, 2:1	red
273	21	Repi	12	i choose the red flowers with yellow tips			12:11, 11:7, 3:5, 10:4, 8:2, 2:1	red
276	22	Laju	3	I chose single petal			4:10, 3:9, 6:8, 11:7, 10:6, 1:4	red
277	22	Laju	3	yellow long skinny center			4:10, 3:9, 6:8, 11:7, 10:6, 1:4	red
279	22	Minu	4	i choose the single round flower			4:10, 3:9, 6:8, 11:7, 10:6, 1:4	red
282	23	Laju	9	I chose antenna flower.			11:10, 9:9, 1:8, 8:5, 2:4, 5:2	red
284	23	Repi	1	gg guys			11:10, 9:9, 1:8, 8:5, 2:4, 5:2	red
285	23	Laju	9	just pick lol			11:10, 9:9, 1:8, 8:5, 2:4, 5:2	red
286	23	Minu	8	i choose the 3 flowers			11:10, 9:9, 1:8, 8:5, 2:4, 5:2	red
289	0	Laju	1	Hi			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
290	0	Repi	3	The yellow flower with a brownish middle is best for me			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
291	0	Minu	11	the floppy looking one is best for me			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
292	0	Repi	3	Hiya :)			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
293	0	Laju	1	The floppy one is the best for me too			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
294	0	Laju	1	So you can choose it			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
295	0	Minu	11	alright sounds good			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
297	0	Laju	1	I dont have any other very high profit ones			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
298	0	Laju	1	any suggestions?			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
299	0	Minu	11	do you have any that are missing the profit bar?			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
300	0	Laju	1	the one that kind of looks like a sunflower			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
301	0	Repi	3	I have two missing profit bars, the floppy one and the one with orange tips			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
302	0	Repi	3	the sunflower one has a high profit bar			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
303	0	Repi	3	so i can choose the sunflower one			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
304	0	Laju	1	Ok			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
306	0	Laju	1	Im missing the profit for the one with a spike in the middle			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
307	0	Laju	1	6 outer petals			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
308	0	Repi	3	that has a low profit			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
309	0	Laju	1	halfway at least?			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
310	0	Repi	3	less			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
311	0	Minu	11	the orange tipped flower is close to halfway			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
312	0	Repi	3	do the orange tipped one			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
313	0	Laju	1	ill go for orange tip then			11:11, 3:9, 1:4, 2:3, 12:2, 9:1	yellow
315	1	Minu	4	the red middle with spike is best for me			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
316	1	Repi	2	The one with the red inside is best yeah			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
317	1	Laju	8	highest for me is the 4 circular ones			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
318	1	Laju	8	then second highest is the bunch with many flowers, bar is over halfway			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
319	1	Repi	2	the one that looks like 4 fluff balls is over halway			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
320	1	Minu	4	i am going to do the one that looks like a bunch of flowers so someone can do the red middle one and four circles one			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
322	1	Laju	8	Ok repi you do the red middle			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
324	1	Repi	2	Okay			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
325	1	Laju	8	Ill do the 4 circles			2:12, 8:8, 4:7, 7:6, 3:4, 12:2	yellow
327	2	Laju	7	Highest for me is the one with 7 petals			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
328	2	Repi	6	The low quality image with the faint orange middle is my highlight			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
329	2	Minu	6	same repi			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
330	2	Repi	6	the second best is the 7 petals			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
331	2	Minu	6	the red center is about half way			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
332	2	Laju	7	I'll take the 7 petal one			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
333	2	Repi	6	im not sure about the orange tips or red centre			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
335	2	Minu	6	orange tips is less than half, red center is half			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
336	2	Laju	7	yeah			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
337	2	Laju	7	I cant see the sunflower bar			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
338	2	Repi	6	red centre is best then			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
339	2	Repi	6	sunflower is very small			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
340	2	Laju	7	ok			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
342	2	Laju	7	red centre and faint orange one then			6:12, 7:8, 2:6, 1:5, 10:2, 3:1	yellow
344	3	Laju	2	red middle highest by far			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
345	3	Minu	6	same faint orange is highest again			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
346	3	Repi	1	Orange tips shows middle for me			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
347	3	Laju	2	sunflower is just under halfway			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
348	3	Laju	2	I can go for red middle			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
350	3	Minu	6	laju do you want to do the red middle, repi the orange tips, and i do the orange middle?			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
351	3	Minu	6	ok			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
353	3	Repi	1	shall i do orange tips?			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
354	3	Minu	6	yeah			2:11, 6:9, 1:7, 3:6, 7:5, 8:3	yellow
356	4	Minu	8	four circles highest			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
357	4	Laju	11	floppy one highest on mine			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
358	4	Repi	9	i cant see the one with the small spike in the middle			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
359	4	Repi	9	all the others are low			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
360	4	Laju	11	thats under halfway			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
361	4	Minu	8	it is below half for that one			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
362	4	Laju	11	but decent			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
363	4	Laju	11	about 40%			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
364	4	Repi	9	thats the best third choice then			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
365	4	Laju	11	I'll do the floppy one			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
367	4	Minu	8	ill do the circles			8:10, 11:8, 9:5, 12:4, 6:3, 4:2	yellow
370	5	Minu	5	sunflower highest			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
371	5	Repi	3	sunflower is very high			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
372	5	Laju	1	Orange tips highest for me			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
373	5	Minu	5	then the three small ones are around the middle			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
374	5	Repi	3	what about the 3 small ones			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
375	5	Minu	5	they are at half			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
376	5	Laju	1	halfway basically			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
377	5	Minu	5	what is the orange tips at?			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
378	5	Laju	1	Over half			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
379	5	Repi	3	halfway for orange tips			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
380	5	Laju	1	tiny bit better			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
381	5	Minu	5	i will do the thrid best for the 3 little ones			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
383	5	Laju	1	Okay Repi can you do the sunflower			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
384	5	Laju	1	is that the highest			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
385	5	Repi	3	yup			3:10, 1:7, 5:6, 4:5, 12:3, 9:2	yellow
388	6	Laju	2	Red middle highest			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
389	6	Repi	5	3 small flowers is over halfway			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
390	6	Minu	1	red center highest, then 3 little, then orange tips			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
391	6	Laju	2	Ok sounds good			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
392	6	Repi	5	which shall I choose?			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
393	6	Laju	2	ill do red middle			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
395	6	Minu	1	ill do orange tips			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
396	6	Minu	1	repi do the three small ones			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
398	6	Repi	5	sure			2:10, 5:8, 1:5, 9:4, 8:3, 11:1	yellow
400	7	Laju	5	3 small ones highest for mw			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
401	7	Laju	5	me*			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
402	7	Minu	1	how high is that one?			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
403	7	Laju	5	75%			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
404	7	Laju	5	Orange tips is second highest for me			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
405	7	Repi	12	the one that looks like a yellow rose is also halfway			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
406	7	Minu	1	the one with the weird middle is similar			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
407	7	Laju	5	Ill do the 3 small ones			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
409	7	Minu	1	repi which one do you want to do?			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
410	7	Laju	5	Orange tips is about 65%			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
411	7	Repi	12	you do orange tips			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
412	7	Laju	5	or 60%			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
413	7	Minu	1	alright			5:10, 12:9, 1:8, 7:6, 4:5, 6:4	yellow
416	8	Minu	6	faint orange center hgihest			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
417	8	Repi	12	weird middle from before is 60%			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
418	8	Repi	12	and spike in middle is 50%			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
419	8	Minu	6	then the one with the spike in about 50%			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
420	8	Repi	12	yeah			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
421	8	Laju	9	i can do the spike			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
422	8	Minu	6	i'll do the faint orange			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
425	8	Repi	12	i'll do weird middle again			6:12, 12:8, 9:7, 4:4, 11:3, 1:1	yellow
427	9	Repi	3	sunflower is highest			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
428	9	Laju	6	Sunflower about 75%			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
429	9	Minu	7	7 petals is highest for me			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
430	9	Minu	7	then faint orange			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
431	9	Repi	3	faint fuzzy orange is 50% yeah			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
432	9	Laju	6	Repi go for sunflower			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
433	9	Repi	3	okay			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
435	9	Laju	6	I'll do the faint orange			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
436	9	Minu	7	i'll do the 7 petals			3:10, 7:9, 6:7, 2:5, 10:4, 12:1	yellow
439	10	Laju	6	faint orange really high			6:12, 12:7, 2:6, 9:5, 1:3, 5:1	yellow
