gameId,rowid,trialNum,name,pResp,text,span,referent,flowers,color
Rq47E8uzWFKm4CBPJ,694,10,Minu,2,Im taking the one with the red center,"""one with the red center""",2,"3:11, 2:8, 12:5, 5:4, 8:3, 11:2",yellow
Rq47E8uzWFKm4CBPJ,697,11,Laju,12,ill take the one with the seeds in the center,"""one with the seeds in the center""",12,"4:11, 12:6, 10:5, 7:4, 1:3, 9:2",yellow
Rq47E8uzWFKm4CBPJ,698,11,Repi,4,I'll take the bunch of flowers,"""bunch of flowers""",4,"4:11, 12:6, 10:5, 7:4, 1:3, 9:2",yellow
Rq47E8uzWFKm4CBPJ,702,12,Laju,11,ill take the droopy one,"""droopy one""",11,"11:12, 4:9, 3:7, 5:5, 10:4, 9:1",yellow
Rq47E8uzWFKm4CBPJ,704,12,Minu,4,Im taking the bunch of flower,"""bunch of flower""",4,"11:12, 4:9, 3:7, 5:5, 10:4, 9:1",yellow
Rq47E8uzWFKm4CBPJ,707,13,Laju,1,ill take the orange tip one,"""orange tip one""",1,"1:11, 11:8, 2:7, 12:6, 8:5, 5:4",yellow
Rq47E8uzWFKm4CBPJ,709,13,Repi,11,I'm taking the droopy one,"""droopy one""",11,"1:11, 11:8, 2:7, 12:6, 8:5, 5:4",yellow
Rq47E8uzWFKm4CBPJ,712,14,Laju,1,ill take the orange tip one,"""orange tip one""",1,"1:12, 4:9, 11:8, 6:7, 8:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,714,14,Minu,11,Ill take the droppy one,"""droppy one""",11,"1:12, 4:9, 11:8, 6:7, 8:4, 3:2",yellow
Rq47E8uzWFKm4CBPJ,717,15,Laju,12,ill take the seed center one,"""seed center one""",12,"12:12, 10:9, 6:8, 11:7, 5:6, 7:2",yellow
Rq47E8uzWFKm4CBPJ,718,15,Repi,10,I'll take dandelion,"""dandelion""",10,"12:12, 10:9, 6:8, 11:7, 5:6, 7:2",yellow
Rq47E8uzWFKm4CBPJ,722,16,Laju,10,ill take the dandelion,"""dandelion""",10,"10:10, 6:9, 2:4, 3:3, 7:2, 9:1",yellow
Rq47E8uzWFKm4CBPJ,724,16,Minu,6,Ill take the orange sees one,"""orange sees one""",6,"10:10, 6:9, 2:4, 3:3, 7:2, 9:1",yellow
Rq47E8uzWFKm4CBPJ,726,16,Repi,2,I'll take the red centre,"""red centre""",2,"10:10, 6:9, 2:4, 3:3, 7:2, 9:1",yellow
Rq47E8uzWFKm4CBPJ,728,17,Laju,12,ill take the seed one,"""seed one""",12,"12:10, 3:8, 1:7, 10:6, 6:5, 9:2",yellow
Rq47E8uzWFKm4CBPJ,730,17,Repi,3,Taking the brown centre,"""brown centre""",3,"12:10, 3:8, 1:7, 10:6, 6:5, 9:2",yellow
Rq47E8uzWFKm4CBPJ,733,18,Laju,1,orange tips,"""orange tips""",1,"1:10, 5:8, 2:4, 3:3, 10:2, 9:1",yellow
Rq47E8uzWFKm4CBPJ,735,18,Minu,5,3 flowers,"""3 flowers""",5,"1:10, 5:8, 2:4, 3:3, 10:2, 9:1",yellow
Rq47E8uzWFKm4CBPJ,738,19,Minu,6,Orange seeds in center,"""Orange seeds in center""",6,"7:12, 6:8, 4:7, 8:6, 2:3, 11:2",yellow
Rq47E8uzWFKm4CBPJ,740,19,Laju,7,exposed stem,"""exposed stem""",7,"7:12, 6:8, 4:7, 8:6, 2:3, 11:2",yellow
Rq47E8uzWFKm4CBPJ,743,20,Repi,8,Bunch of 4,"""Bunch of 4""",8,"8:12, 12:8, 11:7, 2:5, 10:2, 6:1",yellow
Rq47E8uzWFKm4CBPJ,744,20,Laju,12,seeds in center,"""seeds in center""",12,"8:12, 12:8, 11:7, 2:5, 10:2, 6:1",yellow
Rq47E8uzWFKm4CBPJ,748,21,Laju,11,droopy,"""droopy""",11,"5:12, 11:9, 12:8, 2:6, 7:5, 4:4",yellow
Rq47E8uzWFKm4CBPJ,749,21,Minu,5,3 flowers,"""3 flowers""",5,"5:12, 11:9, 12:8, 2:6, 7:5, 4:4",yellow
Rq47E8uzWFKm4CBPJ,753,22,Laju,11,droopy,"""droopy""",11,"6:11, 11:8, 8:7, 7:5, 12:2, 1:1",yellow
Rq47E8uzWFKm4CBPJ,754,22,Minu,6,Orange seeds in center,"""Orange seeds in center""",6,"6:11, 11:8, 8:7, 7:5, 12:2, 1:1",yellow
Rq47E8uzWFKm4CBPJ,758,23,Laju,9,daffodil,"""daffodil""",9,"9:10, 6:8, 7:7, 12:6, 5:5, 8:3",yellow
Rq47E8uzWFKm4CBPJ,760,23,Minu,7,Stem,"""Stem""",7,"9:10, 6:8, 7:7, 12:6, 5:5, 8:3",yellow
Etbyk29DvPTqmSJM7,4924,0,Repi,5,red with yellow middle is good for me,"""red with yellow middle""",,"5:12, 7:9, 8:8, 9:7, 2:5, 11:4",red
Etbyk29DvPTqmSJM7,4925,0,Minu,5,I'd like to choose the red flower with the white middle,"""red flower with the white middle""",5,"5:12, 7:9, 8:8, 9:7, 2:5, 11:4",red
Etbyk29DvPTqmSJM7,4926,0,Minu,5,"Laju, did you already choose that one?",,,"5:12, 7:9, 8:8, 9:7, 2:5, 11:4",red
Etbyk29DvPTqmSJM7,4927,0,Laju,7,I'm going to take the red that has the most flowers. Two in the front and about 4 in the background,"""red that has the most flowers. Two in the front and about 4 in the background""",7,"5:12, 7:9, 8:8, 9:7, 2:5, 11:4",red
Etbyk29DvPTqmSJM7,4930,1,Laju,3,I would like the red with the yellow stem in the middle,"""red with the yellow stem in the middle""",,"9:10, 3:8, 6:7, 10:4, 4:2, 1:1",red
Etbyk29DvPTqmSJM7,4932,1,Minu,6,"I like the one that looks like it might be a hot pink, lots of petals","""one that looks like it might be a hot pink, lots of petals""",,"9:10, 3:8, 6:7, 10:4, 4:2, 1:1",red
Etbyk29DvPTqmSJM7,4933,1,Repi,9,ill take the red with the yellow legs,"""red with the yellow legs""",,"9:10, 3:8, 6:7, 10:4, 4:2, 1:1",red
Etbyk29DvPTqmSJM7,4937,2,Minu,10,I'll take the bushy looking one that surrounded by it's leaves,"""bushy looking one that surrounded by it's leaves""",,"1:10, 10:9, 3:5, 8:3, 7:2, 11:1",red
Etbyk29DvPTqmSJM7,4938,2,Repi,1,im good with the one that looks like red berries,"""one that looks like red berries""",,"1:10, 10:9, 3:5, 8:3, 7:2, 11:1",red
Etbyk29DvPTqmSJM7,4939,2,Laju,3,I'll take the same as last time. Red triangle shape with yellow stem in the middle,"""Red triangle shape with yellow stem in the middle""",,"1:10, 10:9, 3:5, 8:3, 7:2, 11:1",red
Etbyk29DvPTqmSJM7,4940,2,Repi,1,okay ill take the one one that over laps the petals,"""one that over laps the petals""",,"1:10, 10:9, 3:5, 8:3, 7:2, 11:1",red
Etbyk29DvPTqmSJM7,4944,3,Repi,1,ill do same pic as last time,,,"1:12, 3:8, 11:6, 10:5, 5:4, 6:2",red
Etbyk29DvPTqmSJM7,4945,3,Minu,11,I'll take the one that's pin with yellow in the middle,"""one that's pin with yellow in the middle""",,"1:12, 3:8, 11:6, 10:5, 5:4, 6:2",red
Etbyk29DvPTqmSJM7,4946,3,Minu,11,pink*,,,"1:12, 3:8, 11:6, 10:5, 5:4, 6:2",red
Etbyk29DvPTqmSJM7,4949,4,Laju,3,I'd like the triangle shaped one with the yellow stem in the middle,"""triangle shaped one with the yellow stem in the middle""",,"3:10, 7:9, 6:8, 2:7, 5:6, 11:1",red
Etbyk29DvPTqmSJM7,4951,4,Minu,6,I'll take the poinsettia,"""poinsettia""",,"3:10, 7:9, 6:8, 2:7, 5:6, 11:1",red
Etbyk29DvPTqmSJM7,4952,4,Repi,6,ill do the one with the water drops on it,"""one with the water drops on it""",,"3:10, 7:9, 6:8, 2:7, 5:6, 11:1",red
Etbyk29DvPTqmSJM7,4956,5,Laju,4,I would like the one that's almost all red,"""one that's almost all red""",,"4:11, 9:9, 7:5, 6:4, 10:3, 5:2",red
Etbyk29DvPTqmSJM7,4958,5,Minu,9,i'll take the wavy one with the yellow legs,"""wavy one with the yellow legs""",,"4:11, 9:9, 7:5, 6:4, 10:3, 5:2",red
Etbyk29DvPTqmSJM7,4960,6,Laju,3,I'd like the one with the triangle shape and yellow stem in the middle,"""one with the triangle shape and yellow stem in the middle""",,"3:10, 1:8, 5:7, 2:5, 11:4, 9:2",red
Etbyk29DvPTqmSJM7,4962,6,Minu,1,i'll take the one with overlapping pedals,"""one with overlapping pedals""",,"3:10, 1:8, 5:7, 2:5, 11:4, 9:2",red
Etbyk29DvPTqmSJM7,4965,7,Repi,7,im taking the pink middle ones,"""pink middle ones""",,"7:10, 11:8, 8:4, 10:3, 12:2, 6:1",red
Etbyk29DvPTqmSJM7,4966,7,Repi,7,theres like 7 in the pic,,,"7:10, 11:8, 8:4, 10:3, 12:2, 6:1",red
Etbyk29DvPTqmSJM7,4967,7,Minu,11,i'll take the pink ones with yellow middles,"""pink ones with yellow middles""",,"7:10, 11:8, 8:4, 10:3, 12:2, 6:1",red
Etbyk29DvPTqmSJM7,4971,8,Minu,9,i'll take the wavy one with yellow legs again,"""wavy one with yellow legs""",,"6:11, 9:8, 4:6, 11:4, 2:2, 5:1",red
Etbyk29DvPTqmSJM7,4974,8,Repi,6,ill take the one with the green stem in the middle,"""one with the green stem in the middle""",,"6:11, 9:8, 4:6, 11:4, 2:2, 5:1",red
Etbyk29DvPTqmSJM7,4977,9,Laju,4,I'll take the one that is almost perfectly round and almost all red,"""one that is almost perfectly round and almost all red""",,"7:11, 4:9, 9:6, 12:5, 10:3, 3:1",red
Etbyk29DvPTqmSJM7,4978,9,Minu,7,i'll take the ones with pink in the middle and 6 flowers in the photo,"""ones with pink in the middle and 6 flowers in the photo""",,"7:11, 4:9, 9:6, 12:5, 10:3, 3:1",red
Etbyk29DvPTqmSJM7,4981,10,Minu,3,i'll take the one with the yellow stem,"""one with the yellow stem""",,"3:11, 1:9, 7:7, 6:6, 8:3, 5:2",red
Etbyk29DvPTqmSJM7,4983,10,Repi,1,ill take the overlapping one,"""overlapping one""",,"3:11, 1:9, 7:7, 6:6, 8:3, 5:2",red
Etbyk29DvPTqmSJM7,4985,10,Laju,7,I'll take the one with two pedals in the front and about 4 in the back,"""one with two pedals in the front and about 4 in the back""",,"3:11, 1:9, 7:7, 6:6, 8:3, 5:2",red
Etbyk29DvPTqmSJM7,4987,11,Laju,9,I'll take the one with the wavy pedals,"""one with the wavy pedals""",,"7:11, 9:9, 5:8, 3:6, 10:2, 12:1",red
Etbyk29DvPTqmSJM7,4989,11,Minu,7,i'll take the pink middles with 6 flowers,"""pink middles with 6 flowers""",,"7:11, 9:9, 5:8, 3:6, 10:2, 12:1",red
Etbyk29DvPTqmSJM7,4992,12,Laju,6,I'll take the one iwth the green stem in the middle,"""one iwth the green stem in the middle""",,"6:10, 5:8, 10:6, 1:5, 8:4, 7:1",red
Etbyk29DvPTqmSJM7,4994,12,Repi,5,ill take pink and yellow middle,"""pink and yellow middle""",,"6:10, 5:8, 10:6, 1:5, 8:4, 7:1",red
Etbyk29DvPTqmSJM7,4997,13,Repi,3,yellow stem middle,"""yellow stem middle""",,"3:11, 10:9, 5:8, 4:6, 7:4, 12:3",red
Etbyk29DvPTqmSJM7,4999,13,Minu,4,i'll take the all red one,"""all red one""",,"3:11, 10:9, 5:8, 4:6, 7:4, 12:3",red
Etbyk29DvPTqmSJM7,5002,14,Laju,8,I'll take 3 pedals,"""3 pedals""",,"10:10, 8:8, 6:6, 3:3, 5:2, 11:1",red
Etbyk29DvPTqmSJM7,5004,14,Minu,10,i'll take the one that looks like berries,"""one that looks like berries""",,"10:10, 8:8, 6:6, 3:3, 5:2, 11:1",red
Etbyk29DvPTqmSJM7,5005,14,Repi,6,imm take all red bush,"""all red bush""",,"10:10, 8:8, 6:6, 3:3, 5:2, 11:1",red
Etbyk29DvPTqmSJM7,5008,15,Repi,4,all red,,,"4:11, 12:9, 9:8, 5:6, 3:4, 2:1",red
Etbyk29DvPTqmSJM7,5009,15,Laju,9,I'll take wavy pedals,"""wavy pedals""",,"4:11, 12:9, 9:8, 5:6, 3:4, 2:1",red
Etbyk29DvPTqmSJM7,5012,15,Minu,12,i'll take the one with yellow tips,"""one with yellow tips""",,"4:11, 12:9, 9:8, 5:6, 3:4, 2:1",red
Etbyk29DvPTqmSJM7,5014,16,Repi,2,water on pedals,"""water on pedals""",2,"2:10, 5:9, 6:7, 11:6, 10:4, 9:3",red
Etbyk29DvPTqmSJM7,5015,16,Minu,5,i'll take the red white and yellow one,"""red white and yellow one""",,"2:10, 5:9, 6:7, 11:6, 10:4, 9:3",red
Etbyk29DvPTqmSJM7,5019,17,Repi,8,black middles,"""black middles""",,"6:12, 8:9, 9:7, 1:6, 5:2, 7:1",red
Etbyk29DvPTqmSJM7,5021,17,Repi,8,poppies,"""poppies""",,"6:12, 8:9, 9:7, 1:6, 5:2, 7:1",red
Etbyk29DvPTqmSJM7,5022,17,Minu,6,i'll take the green stem through the middle,"""green stem through the middle""",,"6:12, 8:9, 9:7, 1:6, 5:2, 7:1",red
Etbyk29DvPTqmSJM7,5023,17,Laju,9,Green stem in middle,"""Green stem in middle""",,"6:12, 8:9, 9:7, 1:6, 5:2, 7:1",red
Etbyk29DvPTqmSJM7,5026,18,Laju,5,Wavy pedals,"""Wavy pedals""",,"9:12, 6:8, 10:5, 5:3, 4:2, 11:1",red
Etbyk29DvPTqmSJM7,5027,18,Minu,10,wavy with yellow legs,"""wavy with yellow legs""",9,"9:12, 6:8, 10:5, 5:3, 4:2, 11:1",red
Etbyk29DvPTqmSJM7,5028,18,Repi,6,green stem,"""green stem""",,"9:12, 6:8, 10:5, 5:3, 4:2, 11:1",red
Etbyk29DvPTqmSJM7,5033,19,Laju,10,Looks like berries,"""berries""",,"10:12, 12:8, 6:7, 4:6, 2:4, 1:1",red
Etbyk29DvPTqmSJM7,5034,19,Repi,6,green stem,"""green stem""",,"10:12, 12:8, 6:7, 4:6, 2:4, 1:1",red
Etbyk29DvPTqmSJM7,5036,19,Minu,12,yellow tips,"""yellow tips""",,"10:12, 12:8, 6:7, 4:6, 2:4, 1:1",red
Etbyk29DvPTqmSJM7,5039,20,Minu,8,black middles,"""black middles""",,"5:10, 8:9, 4:6, 6:5, 7:2, 1:1",red
Etbyk29DvPTqmSJM7,5040,20,Laju,5,Yellow middle with white around,"""Yellow middle with white around""",5,"5:10, 8:9, 4:6, 6:5, 7:2, 1:1",red
Etbyk29DvPTqmSJM7,5043,21,Minu,9,wavy guy,"""wavy guy""",9,"11:12, 9:9, 3:6, 12:5, 2:4, 8:1",red
Etbyk29DvPTqmSJM7,5046,21,Repi,11,yellow middle,"""yellow middle""",,"11:12, 9:9, 3:6, 12:5, 2:4, 8:1",red
Etbyk29DvPTqmSJM7,5048,22,Minu,10,berries,"""berries""",,"10:12, 6:8, 8:7, 2:6, 11:4, 12:3",red
Etbyk29DvPTqmSJM7,5049,22,Laju,6,Berries,"""Berries""",,"10:12, 6:8, 8:7, 2:6, 11:4, 12:3",red
Etbyk29DvPTqmSJM7,5053,23,Minu,6,green stem,"""green stem""",,"2:10, 7:7, 6:6, 12:4, 9:2, 4:1",red
Etbyk29DvPTqmSJM7,5055,23,Laju,2,Water on leaves,"""Water on leaves""",2,"2:10, 7:7, 6:6, 12:4, 9:2, 4:1",red
