_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time,data.player1,data.player2,data.p1nice,data.p2nice,data.p1again,data.p2again
XbLqF8mtbSw5fD7qo,cGXc9yZzKxhhprpcL,7JSk79tktXw77agpS,2021-08-19T19:30:13Z,34,f,english,true,,,,,,someCollege,yes,no,stronglyAgree,yes.  everyone did the job correctly,yes,none  it was fun,yes,,,6,6,6,6
HvZ6wDPjxBWo7fG2G,MA8mGcu88T7QesRGb,,2021-08-19T19:30:13Z,34,Female,English,true,,,,,,master,yes,yes,agree,,,,,,,4,4,4,4
Kbo2rqzo8rxnwigLC,5zTMxxhPBMzcECJ7s,,2021-08-19T19:30:14Z,25,Female,English,true,,,,,,bachelor,yes,yes,neutral,I didn’t get to play :(,I didn’t get to play :(,,,,,3,3,4,3
wPK4gTZJmyXnDPbwE,78C7NB5i8EqKfRZpD,,2021-08-19T19:30:23Z,31,Male,English,true,,,,,,master,yes,yes,neutral,N/A,N/A,No problems found.,N/A,,,5,5,4,4
yjL83RaQEjHffy4kP,4B6Jh337dmfKfHQad,,2021-08-19T19:30:29Z,34,female,english,true,,,,,,someCollege,yes,no,neutral,"didnt let me play, study full","didnt let me play, study full","didnt let me play, study full","didnt let me play, study full",,,4,4,4,4
DXfhXCzYuv67CuSJ7,a9uEd3jBBrfdy8Ecy,,2021-08-19T19:30:53Z,29,Male,English,,true,,,,,highSchool,yes,yes,stronglyAgree,"Yes, it was fair but could be a bit more to conspete for people who just opened the link and reading the instruction.",I wasn't able to use them.,"The survey ended suddenly because of time, which I did not expect. A bit of a heads-up before I start the game would be really helpful! :)",I wasn't able to partake in the round.,,,5,5,6,5
P3SR8DiF9QpLBEafM,XyoaZD2sgvPot8BT9,7JSk79tktXw77agpS,2021-08-19T19:31:37Z,22,female,english,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes.,Yes.,No.,Yes.,,,7,7,7,7
dohmQFEznkR4MnsSc,Hfg3rsfN9JC4LoySh,LmhxB2Dp9tRd9dujK,2021-08-19T19:32:22Z,23,Female,English,true,,,,,,master,yes,yes,stronglyAgree,It felt fair,very easy,none,more than enough,,,4,4,7,7
JCDQxD4sEzb6gJRQL,2yjpexnFBBfEDFJ3y,LmhxB2Dp9tRd9dujK,2021-08-19T19:33:13Z,,,Englis,true,,,,,true,highSchool,yes,yes,agree,"Yes it seemed good, got fun after the first few","Yeah, it was straight forwards and easy","not really, well designed imo","definately, especially after we got into a groove",,,6,6,7,7
JFmHYNXk3SkXugKGC,LLD4Kq4pp6qMYpkhK,,2021-08-19T19:33:47Z,24,Male,English,true,,,,,,bachelor,yes,no,neutral,Yes,Yrd,No,Yes,,,4,4,4,7
9EkzC2TZeY9R47TDt,5mMzhKiwfTuooEoMa,LmhxB2Dp9tRd9dujK,2021-08-19T19:33:49Z,58,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Very easy,No,Yes more than enough time,,,7,7,7,7
2Gd3x5zTBPtDydTHZ,gdE8d8jXh7DSEeNnd,XjkgbtJsRqw72Efv8,2021-08-19T19:33:51Z,56,female,English,true,,,,,,someCollege,yes,yes,agree,"yes, in all fairness because we all worked well and we all took some less paying than others",yes it was very easy to use,no other problems,yes there was pleanty of time in each round,,,7,7,7,7
EDhEbq5XJTPXBuwBx,XewWJxxCdCLzyRgWG,7JSk79tktXw77agpS,2021-08-19T19:34:00Z,28,male,English ,true,,,,,,someCollege,yes,yes,stronglyAgree,Fair to the challenge of the task. ,Really easy and quick ,,about double the time needing for the task ,,,6,6,7,7
ZtjXzCvmCxwfA7Ekc,Xb5rMN2cFgGjbxf7u,XjkgbtJsRqw72Efv8,2021-08-19T19:34:22Z,50,Female,English,true,,,,,,master,yes,no,stronglyAgree,"Yes, I think so.","Yes, very easy. ",No problems noticed. But I'm sure the people were not real. ,"Yes, I did. ",,,5,4,4,6
dFykJNAxravrcY28K,oYECv6JzgRe7cZhed,,2021-08-19T19:34:38Z,35,Male,English,,true,,,,,master,yes,yes,agree,Yes,Yes,No,Yes,,,6,5,7,7
WNuJL4GjBEDRuAc3J,Cedxcy29brA4XyuQg,n7EdiTEdffTm64G3T,2021-08-19T19:34:49Z,22,female,english,true,,,,,,someCollege,yes,yes,neutral,yes,yes,no,yes,,,5,5,7,7
Qg5qWQ4yJ69tp9C39,74Q6xEZFFjFbCdhJx,,2021-08-19T19:34:56Z,28,Male,English,,true,,,,,bachelor,yes,yes,neutral,,,I could not participate because the game was full. I would have loved to really be part of it. ,,,,4,4,4,4
efAFASrcqq42WW2tY,3oP3ry5WPXEWtjziv,XjkgbtJsRqw72Efv8,2021-08-19T19:35:05Z,36,Male,English,true,,,,,,bachelor,yes,yes,agree,yes,yes very easy,The images on the second part of the 'what would you name these flowers' survey didnt load,more than enough. Could have had less.,,,5,4,7,3
TavhZcy22iAqEBjBa,74CMffZm8pkMKRia5,rzxpsi2uYcPZFHxKS,2021-08-19T19:35:14Z,23,f,english,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes,,,7,7,7,7
sQzef3RwY7ucCfHqo,HLZmBivPnfQHifm9t,rzxpsi2uYcPZFHxKS,2021-08-19T19:35:24Z,,,english,true,,,,,,bachelor,yes,yes,stronglyAgree,yes,yes,,yes,,,7,7,7,7
XPNQJL5pCM6ksTnpo,izmLcwXrsXSq6nwpJ,rzxpsi2uYcPZFHxKS,2021-08-19T19:35:55Z,20,Woman,English,true,,,,,,bachelor,yes,yes,stronglyAgree,yes,yes,no,yes,,,7,7,7,7
KxsdquGrsFcN9NNdM,9a3RZWKmQzYxBTRmz,xNbKXYWeQChGefnkG,2021-08-19T19:36:10Z,25,Male,English,true,,,,,,bachelor,yes,yes,agree,Yes.,Yes.,No.,Yes.,,,7,7,4,4
dM7eJpxRDYcg7NYGo,2ruAuHQnWCySezsmi,n7EdiTEdffTm64G3T,2021-08-19T19:36:44Z,26,Female,English,true,,,,,,bachelor,yes,no,neutral,Yes,Yes,No,Yes,,,7,7,7,7
JLyhMQG6WZGFpXE7x,nmm2hyv9AYG6w7cCp,xNbKXYWeQChGefnkG,2021-08-19T19:37:21Z,40,male,English,true,,,,,,bachelor,yes,no,agree,yes,yes,"no problems encountered (apart from my suspect typing).\nIt was fun to participate in.",yes,,,6,4,7,2
DxY6PHbPXL79Y97Xa,haZWty4SfPvBdgGNn,gaQuqy3pK43dmA63T,2021-08-19T19:37:53Z,21,female,english ,,true,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes,,,6,6,7,7
WHRb8gpCNJYJvfehd,yPx8LjAzWPZQ5NGD4,ryif2joSqP2QPBCAQ,2021-08-19T19:38:03Z,21,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,I feel I could have been paid more due to the time and energy the game took. ,It was very easy to use and functional. ,,I had plenty of time each round.,,,7,7,7,7
8ffBbHR27TwMvJ8fQ,mrMd9iYfKZotcz63P,ryif2joSqP2QPBCAQ,2021-08-19T19:38:03Z,,,,true,,,,,,bachelor,yes,yes,stronglyAgree,sure ,yes ,no,yes ,,,7,7,7,7
ccvwYhWRsL249daYK,bpnvpmrvZXqGa89qM,xNbKXYWeQChGefnkG,2021-08-19T19:38:47Z,22,Male,English,true,,,,,,highSchool,yes,yes,stronglyAgree,Yes.,"Yes, very easy to use.",No problems.,Plenty of time.,,,7,7,7,7
cmg9yWZmGSrd2hta7,mJGPEhxg3qHnRydgL,ryif2joSqP2QPBCAQ,2021-08-19T19:39:16Z,29,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes.,Yes.,No.,Yes.,,,4,7,7,7
3PHkstMBcA6ik3c2D,6vNNiMpyWhbSTGmCR,gaQuqy3pK43dmA63T,2021-08-19T19:39:44Z,22,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes,Yes very easy,No,More than enough,,,7,7,7,7
DJP2wceZjuY2sJdfe,vRDJh6RNsHgR3tH5C,PZY4jHbHmRcFDbKFb,2021-08-19T19:39:50Z,53,male,english,true,,,,,,master,yes,yes,stronglyAgree,not sure,yes,no,yes,,,7,7,7,7
KLgv2ZfxC7s8yqzHo,4TdKbFkuKoYcCHE7b,gaQuqy3pK43dmA63T,2021-08-19T19:40:29Z,,,,,,,,,,bachelor,yes,yes,stronglyAgree,yes it was easy,everything was easy and worked fine for me,no problems,"yes, plenty of time",,,7,7,7,7
CXHn2xEwQ8JievP3v,8HfZgpmQdSm6bb8bM,B5SFfZ9rHwth8oHNn,2021-08-19T19:40:29Z,21,female,english,true,true,,,,,highSchool,yes,yes,stronglyAgree,yes,yessss,"nope, pretty cool idea",yes more than enough,,,6,7,5,7
vpLsv8AZstmzzWxzj,tk6apw87bnaMkYah8,B5SFfZ9rHwth8oHNn,2021-08-19T19:40:34Z,46,male,english,true,,,,,,master,yes,yes,agree,yes,yes,no,yes ,,,7,7,7,7
ZWkMtkLTg5ifi9zJr,k4zTGScYdBczyqge4,DTw5mrEvPvfyuEiGw,2021-08-19T19:40:39Z,20,Non-Binary,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes,Yes,No,Yes,,,7,7,7,7
gosfiaR2FoZYpJhrW,6GYogDyzMgS5YKpFZ,PZY4jHbHmRcFDbKFb,2021-08-19T19:40:52Z,22,female,English,true,,,,,,someCollege,yes,no,agree,Yes,Yes,No,Yes,,,7,3,7,2
jdGuHh5vqHPThZESB,TQjzFB6NqifeBd5cA,B5SFfZ9rHwth8oHNn,2021-08-19T19:41:23Z,37,male,English,true,,,,,,master,yes,yes,stronglyAgree,Yes,very easy,the page doesn't refresh quickly sometimes,yes,,,6,6,7,7
iKjwDgSh7iqpQJcA5,Jo7ZLFA5xmcr4tBZW,PZY4jHbHmRcFDbKFb,2021-08-19T19:41:39Z,58,male,English,true,,,,,,master,yes,yes,agree,yes,yes,no,yes,,,5,5,7,
ahn8xt4WJNEdZJfeX,8K8jPy4zqBZYgsaJ3,n7EdiTEdffTm64G3T,2021-08-19T19:41:43Z,20,Female,English,true,,,,,,highSchool,yes,yes,neutral,"I think the base pay might've been a little low based on how long it was estimated to take, but that makes sense when bonuses are offered. I think it's fair.","Neither of my teammates even tried to use chat, so we just started choosing immediately. Did not have opportunity to use chat because I didn't want to be the only slow one trying to talk. I went with the flow since they seemed like they were in a hurry...",,I think 3 minutes would've been enough if we had used chat. But we took less than 10 seconds each round.,,,4,4,4,4
awEpp7m4kFJo2RMd4,MpPBPm6Gyk4sZrbRY,DTw5mrEvPvfyuEiGw,2021-08-19T19:42:19Z,22,Male,English,true,,,,,,someCollege,yes,no,stronglyAgree,"Absolutely, added up nicely towards the end.",Very straightforward.,"I felt aware they were likely bots, but this was due to the nature of being automatically connected to two people without any waiting at all. Had I not been connected immediately or knew I was doing a study I probably would have believed they were real people. Overall if they were bots they were quite impressive and nice bots.",Plenty of time to discuss and answer.,,,7,7,7,7
trSZmsyDBR8RPox63,wtSBhqBLz3ijnMjLj,DTw5mrEvPvfyuEiGw,2021-08-19T19:42:23Z,19,Male,English,true,,,,,,someCollege,yes,yes,stronglyAgree,"Yes, because I felt it was easy to get the full bonus with some cooperation.","Yes, very easy and instant","No, the study was fun and makes a change from the usual types I do :)","Yes, especially in later rounds when we had established names for all flowers - the rounds were over much faster",,,7,7,7,7
6XHF3KrDDw33w7ay6,W3Whg9CMB9wNtyZkB,qHE49yN9TGZFDaP6F,2021-08-19T19:43:55Z,28,Female,English,true,,,,,,master,yes,no,disagree,Yes,Yes,No,Yes,,,5,3,5,2
GrKwMgXTojng8s7YK,zwuB3ao3QspeaA2eD,YGABm7kTsNdSBHTWW,2021-08-19T19:45:13Z,27,Femaile,English,true,,,,,,bachelor,yes,yes,neutral,"Yes, but we only had one more round and could've gotten bonuses",yes,no,yes,,,7,5,3,6
Lz9bJLzoBPMzBQ83B,ahwLmtGTF9WAq8rdp,YGABm7kTsNdSBHTWW,2021-08-19T19:45:24Z,31,male,english,true,,,,,,someCollege,yes,no,neutral,"yes although one ""disconnected"" and we didn't get to finish",yes,someone disconnected cutting the whole thing short,more than enough,,,6,6,7,7
R2QwHM55c8nB5sQHy,kys9zXT9zHa6pEypR,YGABm7kTsNdSBHTWW,2021-08-19T19:45:36Z,37,female ,English,true,,,,,,bachelor,yes,no,stronglyAgree,Yea,Yes,,Lots of time,,,4,5,6,6
CJ35gePrJMBkY7G2m,TncGefKx9XhkFk7aK,qHE49yN9TGZFDaP6F,2021-08-19T19:46:56Z,50,Female ,English ,true,,,,,,someCollege,yes,no,agree,Yes,Yes,No,Yes,,,7,7,7,7
owyFQDLAthDR57KiD,98NJF6EwcCwbyK4MA,qHE49yN9TGZFDaP6F,2021-08-19T19:50:12Z,26,Female,English,true,,,,,,highSchool,yes,yes,agree,,Yes just typed what you wanted and sent.,,Yes was quite a fair ample amount of time to send few messages and decide.,,,5,6,5,6
jvzBvTjyftWdCaExH,425v9mmHaSup5iuYh,8dDG6frr5JfsMjmTD,2021-08-19T20:01:16Z,19,female,english,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes,Yes,No,Yes,,,6,6,6,7
QeqFDERRBNgCT5Ys4,bz4Q2BQpuYTFk5n2u,8dDG6frr5JfsMjmTD,2021-08-19T20:01:17Z,50,male,English,true,,,,,,someCollege,yes,no,stronglyAgree,yes i do,very easy,none,yes the time was fine,,,7,7,7,7
NNPRKiwfMQGCGe4BD,DRgJemWzF9CDA32LL,8dDG6frr5JfsMjmTD,2021-08-19T20:02:01Z,27,Femal,English,,true,,,,,someCollege,yes,yes,agree,Yes,Yes,No,Yes,,,5,5,7,7
v8hN8bwnoc7cxgY76,9waRYy2SoaZTfkqhM,M8ouHRoCWgHhnZBDW,2021-08-19T20:16:30Z,35,Female,English,true,,,,,,highSchool,yes,yes,stronglyAgree,Yes :),really easy,"no, I really enjoyed it. I do wish I could have left a message at the end to thank the other players, as I didn't realise we were on the last round.","yes, though we cut it close on one round!",,,7,7,7,7
nRoX7LQXoYdALfAd9,u5LcFfL3AoyHPAkbi,M8ouHRoCWgHhnZBDW,2021-08-19T20:16:40Z,28,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes. ,Yes. ,No. ,Yes. ,,,7,7,7,7
